answer_f1,answer_precision,answer_recall,category,citation_coverage,citation_precision,expected_entities,expected_rules,f1,latency_ms,metric_group,precision,predicted_entities,predicted_rules,question_id,recall,recall_at_5,unsupported_claim_rate
,,,,,,WO-P101-004,,0.6667,0.003,rca,0.5,RCA-P101-001;WO-P101-004,,Q-RCA-004,1.0,,
,,,,,,P101-EV-004,,0.6667,0.003,rca,0.5,P101-EV-004;RCA-P101-001,,Q-RCA-005,1.0,,
,,,,,,WO-P101-002,,0.6667,0.003,rca,0.5,RCA-P101-001;WO-P101-002,,Q-RCA-006,1.0,,
,,,,1.0,1.0,,,,,citations,,,,Q-ENTITY-001,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-ENTITY-002,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-ENTITY-003,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-ENTITY-004,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-ENTITY-005,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-ENTITY-006,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-RAG-001,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-RAG-002,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-RAG-003,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-RAG-004,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-RAG-005,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-RAG-006,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-COMP-001,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-COMP-002,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-COMP-003,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-COMP-004,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-COMP-005,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-COMP-006,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-RCA-001,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-RCA-002,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-RCA-003,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-RCA-004,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-RCA-005,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-RCA-006,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-LAT-001,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-LAT-002,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-LAT-003,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-LAT-004,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-LAT-005,,,0.0
,,,,1.0,1.0,,,,,citations,,,,Q-LAT-006,,,0.0
